id,classification_model
cefe4dc0e5814074bfa06fb2,0.0
b281b20ec5b0c0c76b160041,0.0
a9cf8a8cc1b9e128bbbcb20b,0.0
75d032574426ed83c46a521a,0.0
98e1c6924480fe69c57a4fb5,0.0
599a3dd98035a57210828ed9,0.0
6290a0e686b88704ae8d63c5,0.0
8845a62776c39ad756cad7d0,0.0
1f3a3b676815058cbe0e9e89,0.0
066778b60d1a16d931c5378f,0.0
88630db4539952b73c73c467,0.0
a88520d1deb7c04e49f1fb4c,0.0
34dec39cb0e4e8bb6cad63d0,0.0
865cb71d43cd7538c3054e6a,0.0
9a66075e65d39a3e5a5b421c,0.0
dfc117610e47f742ce7f5f4c,0.0
d193e62773beaca84ff8d1b7,0.0
5960103102cf0445dd13b73c,0.0
def871331f458aa0da5003ee,0.0
55de015efd023636bd5e7ae9,0.0
558313b14f487af341707784,0.0
2632aea06e93b4b62b66262a,0.0
7eb1c0ce4bbe64ebfb10b064,0.0
f296904dc6098ceed29ac085,0.0
984a1be6ea8eecd716ec9bcf,0.0
33287e50f25f1c0b3bdad9b2,0.0
9f6a4d72e9457fcce98c0dc5,0.0
18dbe5304cf32cbe9931a045,0.0
a747012016d7c5271a45420e,0.0
1d2656fbb967f29eaa7cb9d2,0.0
8be95aba2a292c5ba4841bc5,0.0
7883fc17d36e4101eeef7c2d,0.0
3fa239b9c74e8f1701dde05b,0.0
e275cb5d754fdca10db652ff,0.0
8dc07b703da9915855bfa03e,0.0
dc4e8b60eee516a7230abe69,0.0
961f5ded66a5aca346877388,1.0
870ed1670f35c493f975e841,0.0
eb21e04f49a2a79fcb1eadbf,0.0
d5ee73eab1aa1798717b7c5a,0.0
7ee81f7eab1aed3dd67a6e3b,0.0
1005fe6b7b52d4284aec0b42,0.0
6db1b830bdb5d2041cf9580d,0.0
176e12751ebe546513552b10,0.0
ce8437ee40c27de5fe40ae6a,0.0
9651fe4b398414095e531a37,0.0
990a3dc5b1962a2c1c6435fd,0.0
fe4fd6bf4afb268ea7055af7,0.0
86c2460b753a0c028b3cb42d,0.0
a9eac583cc665d9724f56777,0.0
1fa29cdf3690bcd79db014ef,0.0
36f52d31121f16957979a6d3,0.0
4a16f35e48e420959797980a,0.0
fbe099268bb576f271c4fc2b,0.0
2680f470ca756f76dd07e071,0.0
e1192a721fa9ab2348621b77,0.0
4cc1a13b2212b711a8b9dafc,0.0
b779bea4af26c05f6b553711,0.0
f3147609f04261a0bf51f765,0.0
c31778e38a411570c1460503,0.0
5d02d791b392f9b172a92165,0.0
67be3ead4baf16862d11f926,0.0
c24e16390b3fb6f9d23d8997,0.0
1502f5d727dfe27e577868a0,0.0
296e9d3bb7173455985180fd,0.0
789fee6debb6290e5e96d3ae,0.0
6c4280fafc47bc8beec38eb8,1.0
c165b5ac08ef16021172d2d6,0.0
adbe9fd3c5aa4f688a232d96,0.0
c58fc09c1bdeacf09caca060,0.0
f8c864ad16c33f80c79f35ac,0.0
c7d159b8ab2efd9869f936b5,0.0
2338c9215f56f52a9d2934d2,0.0
0f125b2889b86e5bc405716d,0.0
c7f1db3da11803fae303dcfa,0.0
7c54679b8470a391672eaad5,0.0
3ce8d42d307c0aa3a471e92a,0.0
19c8998b7895821cdd7394e1,0.0
ea0bbd946748b24c4f40e48a,0.0
9ca0c097cfafdc795bf01c31,0.0
355e9f9d97dde84e7f23996f,0.0
6a2e28fd33586125008513de,0.0
33e68898bce7eadea122ef5e,0.0
